"Date","Price","Open","High","Low","Vol.","Change %"
"12/06/2022","18,600.0","19,900.0","19,950.0","18,600.0","62.78M","-7.00%"
"03/23/2020","7,915.1","7,960.8","8,235.3","7,915.1","27.27M","-6.99%"
"04/25/2022","30,840.6","33,148.9","33,148.9","30,840.6","37.77M","-6.96%"
"01/28/2021","20,906.9","20,962.6","21,771.0","20,906.9","87.64M","-6.95%"
"11/10/2022","12,100.0","12,700.0","12,800.0","12,100.0","79.75M","-6.92%"
"03/09/2020","9,539.3","9,539.3","9,859.5","9,539.3","34.89M","-6.92%"
"06/20/2022","21,600.0","22,750.0","23,000.0","21,600.0","37.27M","-6.90%"
"10/31/2022","15,650.0","15,650.0","16,000.0","15,650.0","66.30M","-6.85%"
"10/03/2022","19,750.0","21,200.0","21,200.0","19,750.0","33.57M","-6.84%"
"12/26/2022","17,100.0","18,300.0","18,300.0","17,100.0","31.37M","-6.81%"
"11/23/2022","13,800.0","14,700.0","14,850.0","13,800.0","30.30M","-6.76%"
"01/19/2021","23,192.7","24,865.2","24,865.2","23,136.9","45.24M","-6.73%"
"03/15/2019","11,226.8","11,613.9","11,649.1","11,209.2","46.62M","-6.73%"
"10/21/2022","16,900.0","18,300.0","18,300.0","16,900.0","45.16M","-6.63%"
"02/07/2023","19,750.0","21,150.0","21,200.0","19,700.0","43.38M","-6.62%"
"05/28/2018","12,242.4","12,720.0","13,072.0","12,242.4","20.34M","-6.53%"
"06/18/2018","14,147.9","15,027.7","15,027.7","14,147.9","20.23M","-6.51%"
"11/07/2022","13,700.0","14,550.0","14,800.0","13,700.0","38.26M","-6.48%"
"03/12/2020","8,807.2","8,944.5","9,058.9","8,761.5","27.46M","-6.33%"
"10/06/2022","18,000.0","19,300.0","19,300.0","18,000.0","37.46M","-6.25%"
"07/06/2021","36,327.6","38,673.7","39,506.2","36,327.6","62.68M","-6.25%"
"05/13/2022","27,170.0","28,872.8","29,175.6","27,056.5","55.90M","-6.14%"
"01/24/2022","30,802.7","32,619.1","32,694.8","30,802.7","38.25M","-6.00%"
"05/12/2022","28,948.5","30,727.1","30,764.9","28,948.5","32.83M","-5.90%"
"06/11/2020","11,666.7","12,284.4","12,421.6","11,666.7","48.17M","-5.56%"
"07/03/2018","12,775.3","13,514.4","13,655.2","12,775.3","15.94M","-5.47%"
"04/23/2018","13,976.9","14,806.5","14,806.5","13,951.8","10.82M","-5.44%"
"06/13/2022","24,067.0","24,975.2","25,353.6","23,991.3","27.61M","-5.36%"
"07/19/2021","33,527.3","34,549.0","34,738.2","33,300.3","51.25M","-5.24%"
"06/08/2021","37,841.2","39,581.9","40,036.0","37,841.2","50.03M","-5.12%"
"03/11/2020","9,402.0","9,928.1","9,973.9","9,219.0","17.96M","-5.08%"
"05/22/2018","12,694.9","13,298.2","13,323.3","12,694.9","24.15M","-5.07%"
"11/25/2020","19,847.6","20,516.6","20,572.3","19,624.6","97.75M","-5.07%"
"05/24/2022","26,413.2","27,813.3","28,002.5","25,883.4","54.86M","-5.03%"
"12/20/2022","19,000.0","19,800.0","20,100.0","18,750.0","45.55M","-5.00%"
"07/12/2021","34,019.2","35,343.7","35,495.0","33,300.3","98.15M","-4.97%"
"07/24/2020","12,284.4","12,810.5","12,833.4","12,032.7","44.83M","-4.79%"
"03/26/2020","7,754.9","8,029.4","8,052.3","7,732.1","17.93M","-4.78%"
"01/31/2020","11,026.2","11,438.0","11,575.2","11,026.2","23.16M","-4.74%"
"01/27/2021","22,467.9","23,081.2","23,638.7","22,021.9","49.24M","-4.73%"
"06/14/2022","22,931.8","23,840.0","23,877.8","22,856.1","36.97M","-4.72%"
"04/21/2020","9,241.9","9,493.5","9,722.3","9,219.0","25.13M","-4.72%"
"10/11/2022","17,500.0","18,400.0","18,400.0","17,350.0","26.45M","-4.63%"
"06/06/2019","10,385.7","10,934.7","10,934.7","10,225.5","14.92M","-4.62%"
"06/19/2018","13,496.8","13,655.2","13,901.5","13,197.6","36.04M","-4.60%"
"10/04/2022","18,850.0","20,100.0","20,250.0","18,650.0","30.51M","-4.56%"
"02/01/2023","21,100.0","22,200.0","22,650.0","21,000.0","51.91M","-4.52%"
"12/19/2018","10,452.5","10,945.3","11,050.8","10,206.2","30.03M","-4.50%"
"01/31/2019","9,748.7","10,206.2","10,259.0","9,713.5","19.63M","-4.48%"
"04/26/2018","13,449.0","14,077.5","14,278.6","13,348.5","17.83M","-4.46%"
"05/09/2022","30,235.1","31,408.2","31,710.9","30,235.1","34.17M","-4.43%"
"03/27/2020","7,411.8","7,732.1","7,777.8","7,228.8","28.31M","-4.42%"
"05/27/2020","12,444.5","13,085.0","13,085.0","12,444.5","41.65M","-4.23%"
"01/03/2019","10,382.2","10,822.1","10,874.9","10,382.2","18.83M","-4.22%"
"07/24/2018","12,458.6","12,986.5","13,004.1","12,353.0","33.53M","-4.19%"
"11/01/2022","15,000.0","15,750.0","16,000.0","14,800.0","81.55M","-4.15%"
"06/15/2020","11,621.0","12,032.7","12,124.2","11,598.1","23.87M","-4.15%"
"12/06/2021","34,624.7","35,949.1","36,289.7","34,435.5","45.02M","-4.09%"
"11/08/2022","13,150.0","13,100.0","13,700.0","13,000.0","46.27M","-4.01%"
"12/18/2018","10,945.3","11,156.4","11,279.6","10,786.9","22.34M","-4.01%"
"11/19/2021","36,327.6","37,538.5","37,614.2","36,251.9","63.01M","-3.90%"
"06/27/2018","13,901.5","14,394.2","14,482.2","13,901.5","9.24M","-3.89%"
"04/22/2021","30,663.4","31,499.7","32,280.2","30,663.4","58.00M","-3.85%"
"01/30/2020","11,575.2","11,689.6","11,849.7","11,415.1","27.44M","-3.80%"
"03/14/2023","20,300.0","21,050.0","21,100.0","20,200.0","30.87M","-3.79%"
"03/14/2022","34,662.5","35,797.8","36,478.9","34,662.5","44.00M","-3.78%"
"02/08/2021","22,802.4","23,694.4","23,750.2","22,300.6","57.77M","-3.76%"
"08/20/2021","37,084.4","38,446.7","38,598.0","36,478.9","64.13M","-3.73%"
"06/21/2022","20,800.0","21,350.0","21,500.0","20,500.0","39.94M","-3.70%"
"10/11/2018","14,042.3","14,112.7","14,288.7","13,831.1","43.78M","-3.62%"
"11/04/2022","14,650.0","15,000.0","15,150.0","14,500.0","43.89M","-3.62%"
"02/24/2020","10,385.7","10,408.5","10,591.6","10,385.7","27.25M","-3.61%"
"04/18/2022","32,278.5","33,338.1","33,716.5","32,278.5","30.14M","-3.51%"
